PR,PK,Longitude,Latitude
40.0,1400.0,20519262.941924,5523782.765206
40.0,1395.0,20519232.953985,5523821.698539
40.0,1390.0,20519201.960349,5523860.405998
40.0,1385.0,20519170.81737,5523900.781503
40.0,1380.0,20519140.039606,5523939.712539
40.0,1375.0,20519109.690655,5523979.535087
40.0,1370.0,20519077.905704,5524018.796582
40.0,1365.0,20519047.485733,5524058.619227
40.0,1360.0,20519017.93357,5524097.221616
40.0,1355.0,20518986.288714,5524137.930092
40.0,1350.0,20518955.440924,5524177.084387
40.0,1345.0,20518924.44818,5524216.683255
40.0,1340.0,20518893.675938,5524255.059582
40.0,1335.0,20518863.254362,5524296.106753
38.0,1340.0,20518737.966198,5524132.833317
38.0,1345.0,20518767.665036,5524092.783969
38.0,1350.0,20518798.72847,5524053.40691
28.0,1410.0,20518380.773893,5522963.834809
28.0,1405.0,20518348.117945,5523005.210876
28.0,1400.0,20518316.622139,5523044.03288
28.0,1395.0,20518285.921073,5523081.967955
28.0,1390.0,20518257.225882,5523122.468213
28.0,1385.0,20518226.591962,5523162.072249
28.0,1380.0,20518195.384164,5523201.34084
28.0,1375.0,20518164.248,5523240.832307
28.0,1370.0,20518132.972549,5523279.099993
28.0,1365.0,20518104.277677,5523320.157198
28.0,1360.0,20518073.432073,5523359.205259
28.0,1355.0,20518040.647437,5523397.468414
28.0,1350.0,20518011.092982,5523437.855876
28.0,1345.0,20517979.314399,5523476.678901
28.0,1340.0,20517950.193883,5523516.62324
28.0,1330.0,20517888.291065,5523594.943051
28.0,1325.0,20517856.798669,5523634.768786
28.0,1320.0,20517827.531268,5523676.159244
28.0,1315.0,20517795.328632,5523713.536004
28.0,1310.0,20517764.267689,5523753.808612
28.0,1335.0,20517917.135665,5523560.202523
30.0,1320.0,20517986.146153,5523800.037035
30.0,1325.0,20518015.480826,5523760.204822
30.0,1290.0,20517798.367658,5524034.323211
30.0,1335.0,20518077.670579,5523682.109869
30.0,1340.0,20518106.57688,5523641.720581
30.0,1345.0,20518136.776414,5523601.891938
30.0,1350.0,20518167.478754,5523562.39884
30.0,1355.0,20518198.395445,5523523.462773
30.0,1360.0,20518228.162487,5523484.300538
30.0,1365.0,20518260.304354,5523444.924069
30.0,1370.0,20518291.512367,5523405.322165
30.0,1375.0,20518321.925827,5523366.830002
30.0,1380.0,20518351.698415,5523326.556203
30.0,1385.0,20518382.402747,5523287.398013
30.0,1390.0,20518412.390874,5523247.458964
30.0,1395.0,20518444.892098,5523208.974634
30.0,1400.0,20518476.383681,5523171.376846
30.0,1405.0,20518505.081032,5523130.655297
30.0,1410.0,20518535.362877,5523089.49445
26.0,1230.0,20517114.318104,5524262.232151
26.0,1235.0,20517145.870097,5524223.403318
26.0,1240.0,20517176.344828,5524184.237552
26.0,1245.0,20517205.461716,5524142.509409
26.0,1250.0,20517237.950728,5524103.461658
26.0,1255.0,20517268.783191,5524065.298599
26.0,1260.0,20517298.686482,5524025.464332
26.0,1265.0,20517329.163077,5523986.410663
26.0,1270.0,20517359.715979,5523946.133921
26.0,1275.0,20517390.843277,5523906.304113
26.0,1280.0,20517421.177002,5523867.361729
26.0,1285.0,20517453.45057,5523829.204389
26.0,1290.0,20517483.430617,5523788.704038
26.0,1295.0,20517513.550256,5523749.650251
26.0,1300.0,20517544.535243,5523710.04332
26.0,1305.0,20517574.870085,5523671.435483
28.0,1305.0,20517733.497469,5523793.303771
28.0,1300.0,20517702.444393,5523831.463458
28.0,1295.0,20517672.258847,5523868.402681
28.0,1290.0,20517638.752893,5523909.11289
28.0,1285.0,20517613.019722,5523948.402793
28.0,1280.0,20517580.812198,5523988.227799
28.0,1275.0,20517550.762768,5524028.060035
28.0,1270.0,20517518.267409,5524068.218155
28.0,1265.0,20517488.870498,5524106.718142
28.0,1260.0,20517456.662665,5524147.211247
28.0,1255.0,20517427.126746,5524184.487628
28.0,1250.0,20517395.349909,5524225.427401
